"","Year","Month","YearMon","number_encounters","threemonth_spi","prevyear_spi","average_rainfall","season","Month_categorical","Year_categorical","dyad_id","threeseason","fourseason","dyad_species"
"43",2012,10,"2012-10",1,-0.1,0.14,12.125,"Dry","Oct","2012","Scorpion-Doohan","Hot Dry","Hot Dry","Dog-Lion"
"44",2012,10,"2012-10",3,-0.1,0.14,12.125,"Dry","Oct","2012","Scorpion-FEight","Hot Dry","Hot Dry","Dog-Lion"
"45",2012,10,"2012-10",1,-0.1,0.14,12.125,"Dry","Oct","2012","Scorpion-Stumpy","Hot Dry","Hot Dry","Dog-Lion"
"46",2012,10,"2012-10",2,-0.1,0.14,12.125,"Dry","Oct","2012","Yolo-Chloe","Hot Dry","Hot Dry","Dog-Lion"
"47",2012,10,"2012-10",1,-0.1,0.14,12.125,"Dry","Oct","2012","Yolo-FThree","Hot Dry","Hot Dry","Dog-Lion"
"48",2013,8,"2013-08",1,1.17,-0.66,0,"Dry","Aug","2013","Adiga-Stumpy","Hot Dry","Cold Dry","Dog-Lion"
"49",2014,8,"2014-08",2,1.17,0.88,0,"Dry","Aug","2014","Adiga-Envy","Hot Dry","Cold Dry","Dog-Lion"
"50",2014,8,"2014-08",1,1.17,0.88,0,"Dry","Aug","2014","Xerxes-FThree","Hot Dry","Cold Dry","Dog-Lion"
"51",2014,9,"2014-09",1,0.91,0.88,0.625,"Dry","Sep","2014","Xerxes-FThree","Hot Dry","Hot Dry","Dog-Lion"
"52",2014,10,"2014-10",1,-0.91,0.76,12.125,"Dry","Oct","2014","Adiga-Envy","Hot Dry","Hot Dry","Dog-Lion"
"53",2014,11,"2014-11",1,-0.8,0.62,38.3230769230769,"Dry","Nov","2014","Lupe-FThree","Hot Dry","Hot Dry","Dog-Lion"
"54",2014,12,"2014-12",1,0.34,0.7,126.070769230769,"Wet","Dec","2014","Lupe-FThree","Wet","Hot Wet","Dog-Lion"
"55",2014,12,"2014-12",2,0.34,0.7,126.070769230769,"Wet","Dec","2014","Xerxes-FThree","Wet","Hot Wet","Dog-Lion"
"56",2015,1,"2015-01",1,-0.38,0,138.971428571429,"Wet","Jan","2015","Lupe-FEight","Wet","Hot Wet","Dog-Lion"
"57",2015,1,"2015-01",1,-0.38,0,138.971428571429,"Wet","Jan","2015","Xerxes-FThree","Wet","Hot Wet","Dog-Lion"
"58",2015,2,"2015-02",2,-0.69,-0.36,97.4785714285714,"Wet","Feb","2015","Bali-FThree","Wet","Hot Wet","Dog-Lion"
"59",2015,3,"2015-03",1,-0.48,-0.58,94.0271428571429,"Wet","Mar","2015","Adiga-Envy","Wet","Cold Wet","Dog-Lion"
"60",2015,4,"2015-04",1,0.1,-0.41,30.75,"Wet","Apr","2015","Adiga-FEight","Cold Dry","Cold Wet","Dog-Lion"
"61",2015,4,"2015-04",1,0.1,-0.41,30.75,"Wet","Apr","2015","Xerxes-FThree","Cold Dry","Cold Wet","Dog-Lion"
"62",2015,5,"2015-05",1,0.81,-0.41,0,"Wet","May","2015","Bali-Envy","Cold Dry","Cold Wet","Dog-Lion"
"63",2015,5,"2015-05",2,0.81,-0.41,0,"Wet","May","2015","Bali-FEight","Cold Dry","Cold Wet","Dog-Lion"
"64",2015,6,"2015-06",1,1,-0.41,6.53571428571429,"Dry","Jun","2015","Bali-FEight","Cold Dry","Cold Dry","Dog-Lion"
"65",2015,7,"2015-07",4,0.7,-0.41,0,"Dry","Jul","2015","Bali-FEight","Cold Dry","Cold Dry","Dog-Lion"
"66",2015,7,"2015-07",2,0.7,-0.41,0,"Dry","Jul","2015","Bali-Hector","Cold Dry","Cold Dry","Dog-Lion"
"67",2015,8,"2015-08",3,1.17,-0.41,0,"Dry","Aug","2015","Bali-FEight","Hot Dry","Cold Dry","Dog-Lion"
"68",2015,8,"2015-08",1,1.17,-0.41,0,"Dry","Aug","2015","Bali-FThree","Hot Dry","Cold Dry","Dog-Lion"
"69",2015,9,"2015-09",1,0.93,-0.41,0.625,"Dry","Sep","2015","Bali-FEight","Hot Dry","Hot Dry","Dog-Lion"
"70",2015,9,"2015-09",1,0.93,-0.41,0.625,"Dry","Sep","2015","Bali-FThree","Hot Dry","Hot Dry","Dog-Lion"
"71",2015,9,"2015-09",1,0.93,-0.41,0.625,"Dry","Sep","2015","Bali-Woody","Hot Dry","Hot Dry","Dog-Lion"
"72",2015,9,"2015-09",1,0.93,-0.41,0.625,"Dry","Sep","2015","Bongwe-Woody","Hot Dry","Hot Dry","Dog-Lion"
"73",2015,10,"2015-10",1,-0.49,-0.18,12.125,"Dry","Oct","2015","Bali-FEight","Hot Dry","Hot Dry","Dog-Lion"
"74",2015,10,"2015-10",1,-0.49,-0.18,12.125,"Dry","Oct","2015","Bali-Hector","Hot Dry","Hot Dry","Dog-Lion"
"75",2015,10,"2015-10",1,-0.49,-0.18,12.125,"Dry","Oct","2015","Xerxes-Buzz","Hot Dry","Hot Dry","Dog-Lion"
"76",2015,11,"2015-11",1,-0.94,-0.26,38.3230769230769,"Dry","Nov","2015","Bali-FEight","Hot Dry","Hot Dry","Dog-Lion"
"77",2015,11,"2015-11",3,-0.94,-0.26,38.3230769230769,"Dry","Nov","2015","Bali-FThree","Hot Dry","Hot Dry","Dog-Lion"
"78",2015,12,"2015-12",1,-0.54,-0.49,126.070769230769,"Wet","Dec","2015","Bali-Hector","Wet","Hot Wet","Dog-Lion"
"79",2015,12,"2015-12",3,-0.54,-0.49,126.070769230769,"Wet","Dec","2015","Xerxes-FThree","Wet","Hot Wet","Dog-Lion"
"80",2015,12,"2015-12",1,-0.54,-0.49,126.070769230769,"Wet","Dec","2015","Xerxes-Woody","Wet","Hot Wet","Dog-Lion"
"81",2016,1,"2016-01",1,-0.55,-0.46,138.971428571429,"Wet","Jan","2016","Xerxes-Buzz","Wet","Hot Wet","Dog-Lion"
