"","id","id_simple","sex","pack","species","isopleth","hr_area","monthly_spi","threemonth_spi","sixmonth_spi","prevyear_spi","twoyearlag_spi","prcp_monthly","prcp_threemonth","prcp_sixmonth","prcp_twoyear","prcp_annual","date.begin","date.end","year","YearMon","Month","season","label","Sex","Pack","Species","social_group","Month_categorical","Year_categorical","threeseason","fourseason","average_rainfall"
"33","Ash","Ash","F","NJ","African Wild Dog","BB50",15.8779978100586,-0.23,-0.13,-0.17,0.03,0.22,92,255.5,264,1072,478,2022-01-01 04:03:00,2022-02-01 01:00:37,2022,"2022-01",1,"Wet","2022 Wet 2","F","NJ","African Wild Dog","NJ","Jan","2022","Wet","Hot Wet",138.971428571429
"34","Ash","Ash","F","NJ","African Wild Dog","BB95",137.188292833008,0.74,0.29,0.28,0.22,0.61,138,172,172,1085.5,491,2021-12-01 01:03:00,2022-01-01 01:03:00,2021,"2021-12",12,"Wet","2022 Wet 1","F","NJ","African Wild Dog","NJ","Dec","2021","Wet","Hot Wet",126.070769230769
"35","Ash","Ash","F","NJ","African Wild Dog","BB95",121.684976651855,-0.48,-0.49,-0.52,0.61,0.69,25.5,34,34,1008.75,619,2021-10-24 16:32:56,2021-11-22 13:32:56,2021,"2021-11",11,"Dry","2021 Dry 3","F","NJ","African Wild Dog","NJ","Nov","2021","Hot Dry","Hot Dry",38.3230769230769
"36","Ash","Ash","F","NJ","African Wild Dog","BB50",16.405389059082,-0.48,-0.49,-0.52,0.61,0.69,25.5,34,34,1008.75,619,2021-10-24 16:32:56,2021-11-22 13:32:56,2021,"2021-11",11,"Dry","2021 Dry 3","F","NJ","African Wild Dog","NJ","Nov","2021","Hot Dry","Hot Dry",38.3230769230769
"37","Ash","Ash","F","NJ","African Wild Dog","BB95",125.582904214844,0.33,-0.22,-0.39,-0.42,-0.45,17.5,129,384.5,1026.5,393,2022-04-04 01:11:25,2022-04-30 22:00:54,2022,"2022-04",4,"Wet","2022 Wet 5","F","NJ","African Wild Dog","NJ","Apr","2022","Cold Dry","Cold Wet",30.75
"38","Ash","Ash","F","NJ","African Wild Dog","BB50",23.4557809467773,0.33,-0.22,-0.39,-0.42,-0.45,17.5,129,384.5,1026.5,393,2022-04-04 01:11:25,2022-04-30 22:00:54,2022,"2022-04",4,"Wet","2022 Wet 5","F","NJ","African Wild Dog","NJ","Apr","2022","Cold Dry","Cold Wet",30.75
"39","Ash","Ash","F","NJ","African Wild Dog","BB50",6.95050661865234,-0.48,-0.3,-0.44,-0.65,0.03,39,269,303,1069,343,2022-02-01 04:00:37,2022-03-03 22:11:22,2022,"2022-02",2,"Wet","2022 Wet 3","F","NJ","African Wild Dog","NJ","Feb","2022","Wet","Hot Wet",97.4785714285714
"40","Ash","Ash","F","NJ","African Wild Dog","BB50",27.7959605375977,0.74,0.29,0.28,0.22,0.61,138,172,172,1085.5,491,2021-12-01 01:03:00,2022-01-01 01:03:00,2021,"2021-12",12,"Wet","2022 Wet 1","F","NJ","African Wild Dog","NJ","Dec","2021","Wet","Hot Wet",126.070769230769
"41","Augustus","Augustus","M","BON","African Wild Dog","BB95",61.4570821743164,0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,2013-08-01 00:03:06,2013-08-30 12:03:06,2013,"2013-08",8,"Dry","2013 Dry 1","M","BON","African Wild Dog","BON","Aug","2013","Hot Dry","Cold Dry",0
"42","Augustus","Augustus","M","BON","African Wild Dog","BB50",7.08797496337891,0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,2013-08-01 00:03:06,2013-08-30 12:03:06,2013,"2013-08",8,"Dry","2013 Dry 1","M","BON","African Wild Dog","BON","Aug","2013","Hot Dry","Cold Dry",0
